,year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall
186,1972,31.0,1941.0,1,1,20.0,30458.0,1.0,,0.8893
187,1972,26.0,1946.0,1,1,14.0,109355.0,1.0,,1.3339
188,1972,50.0,1922.0,1,1,12.0,43994.0,1.0,,0.8893
189,1972,82.0,1890.0,2,1,9.0,2707.0,1.0,,0.8893
190,1972,40.0,1932.0,1,1,9.0,30458.0,2.0,,0.8893
191,1972,45.0,1927.0,1,1,12.0,24366.0,1.0,,0.8893
192,1972,25.0,1947.0,2,1,14.0,24366.0,2.0,,0.8893
193,1972,45.0,1927.0,2,1,16.0,109355.0,1.0,,1.3339
194,1972,24.0,1948.0,1,2,12.0,24366.0,2.0,,1.3339
195,1972,57.0,1915.0,1,1,4.0,30458.0,2.0,,0.8893
196,1972,36.0,1936.0,1,1,10.0,24366.0,2.0,,0.8893
197,1972,45.0,1927.0,1,1,14.0,60915.0,1.0,,0.8893
198,1972,33.0,1939.0,1,1,16.0,37226.0,2.0,,0.8893
199,1972,58.0,1914.0,1,1,12.0,30458.0,1.0,,0.8893
200,1972,68.0,1904.0,2,1,13.0,13537.0,2.0,,0.4446
201,1972,57.0,1915.0,2,1,8.0,,,,2.2232
202,1972,63.0,1909.0,2,1,12.0,8122.0,1.0,,0.4446
203,1972,48.0,1924.0,2,1,11.0,30458.0,1.0,,0.4446
204,1972,34.0,1938.0,1,1,13.0,37226.0,1.0,,1.3339
205,1972,28.0,1944.0,2,1,12.0,,1.0,,0.8893
206,1972,24.0,1948.0,2,1,16.0,60915.0,1.0,,1.7786
207,1972,57.0,1915.0,1,1,8.0,37226.0,1.0,,1.3339
208,1972,68.0,1904.0,2,1,5.0,2707.0,1.0,,0.8893
209,1972,21.0,1951.0,1,1,15.0,,2.0,,0.8893
210,1972,52.0,1920.0,1,1,12.0,37226.0,1.0,,0.8893
211,1972,47.0,1925.0,2,1,6.0,50763.0,1.0,,1.3339
212,1972,72.0,1900.0,2,1,5.0,2707.0,1.0,,0.8893
213,1972,35.0,1937.0,2,1,16.0,30458.0,1.0,,0.8893
214,1972,30.0,1942.0,2,1,9.0,18951.0,2.0,,0.8893
215,1972,54.0,1918.0,1,1,14.0,50763.0,2.0,,1.7786
216,1972,57.0,1915.0,1,1,7.0,30458.0,2.0,,1.7786
217,1972,53.0,1919.0,2,1,11.0,13537.0,1.0,,0.4446
218,1972,36.0,1936.0,2,2,12.0,24366.0,2.0,,0.8893
219,1972,25.0,1947.0,1,1,17.0,37226.0,1.0,,0.8893
220,1972,46.0,1926.0,2,1,12.0,109355.0,1.0,,0.8893
221,1972,51.0,1921.0,2,1,12.0,109355.0,1.0,,1.3339
222,1972,73.0,1899.0,1,1,7.0,2707.0,2.0,,0.8893
223,1972,26.0,1946.0,1,1,16.0,30458.0,1.0,,0.8893
224,1972,54.0,1918.0,1,1,16.0,8122.0,1.0,,1.3339
225,1972,45.0,1927.0,1,1,8.0,24366.0,1.0,,1.3339
226,1972,22.0,1950.0,1,1,12.0,2707.0,2.0,,1.3339
227,1972,22.0,1950.0,2,2,13.0,74452.0,2.0,,2.6679
228,1972,56.0,1916.0,1,1,18.0,30458.0,2.0,,1.3339
229,1972,49.0,1923.0,2,1,12.0,8122.0,1.0,,0.8893
230,1972,33.0,1939.0,1,1,16.0,24366.0,2.0,,0.8893
231,1972,39.0,1933.0,2,1,14.0,18951.0,1.0,,0.4446
232,1972,58.0,1914.0,1,1,8.0,60915.0,1.0,,1.3339
233,1972,34.0,1938.0,1,1,15.0,30458.0,1.0,,0.8893
234,1972,60.0,1912.0,2,1,11.0,30458.0,1.0,,0.8893
235,1972,47.0,1925.0,2,1,14.0,30458.0,1.0,,1.3339
236,1972,32.0,1940.0,2,1,14.0,18951.0,1.0,,0.8893
237,1972,22.0,1950.0,1,1,15.0,18951.0,2.0,,1.3339
238,1972,63.0,1909.0,1,2,4.0,8122.0,,,0.8893
239,1972,42.0,1930.0,2,2,12.0,43994.0,1.0,,0.8893
240,1972,,,2,2,0.0,2707.0,,,0.4446
241,1972,26.0,1946.0,1,1,14.0,50763.0,2.0,,2.6679
242,1972,34.0,1938.0,1,1,18.0,43994.0,1.0,,0.4446
243,1972,45.0,1927.0,1,1,12.0,50763.0,2.0,,1.3339
244,1972,20.0,1952.0,2,1,12.0,74452.0,1.0,,1.3339
245,1972,34.0,1938.0,1,3,10.0,50763.0,1.0,,1.3339
246,1972,24.0,1948.0,1,1,11.0,24366.0,1.0,,0.8893
247,1972,28.0,1944.0,2,2,9.0,8122.0,1.0,,0.8893
248,1972,34.0,1938.0,1,1,11.0,18951.0,2.0,,0.8893
249,1972,54.0,1918.0,1,1,16.0,8122.0,1.0,,1.3339
250,1972,23.0,1949.0,2,1,8.0,18951.0,1.0,,0.8893
251,1972,24.0,1948.0,2,1,12.0,8122.0,1.0,,0.4446
252,1972,63.0,1909.0,1,1,20.0,109355.0,1.0,,2.6679
253,1972,25.0,1947.0,2,1,9.0,8122.0,2.0,,0.8893
254,1972,29.0,1943.0,2,1,13.0,24366.0,1.0,,0.8893
255,1972,60.0,1912.0,1,1,12.0,37226.0,1.0,,2.2232
256,1972,34.0,1938.0,1,1,12.0,24366.0,1.0,,1.3339
257,1972,51.0,1921.0,1,1,11.0,24366.0,1.0,,1.3339
258,1972,63.0,1909.0,2,1,13.0,30458.0,1.0,,0.8893
259,1972,78.0,1894.0,1,2,2.0,8122.0,1.0,,1.3339
260,1972,41.0,1931.0,2,1,12.0,30458.0,2.0,,1.3339
261,1972,47.0,1925.0,2,1,6.0,50763.0,1.0,,1.3339
262,1972,19.0,1953.0,1,2,12.0,13537.0,1.0,,0.8893
263,1972,34.0,1938.0,2,1,12.0,30458.0,2.0,,0.8893
264,1972,75.0,1897.0,1,1,4.0,13537.0,1.0,,0.8893
265,1972,41.0,1931.0,2,1,12.0,30458.0,1.0,,0.8893
266,1972,70.0,1902.0,2,2,9.0,8122.0,2.0,,0.8893
267,1972,33.0,1939.0,1,1,10.0,37226.0,1.0,,0.8893
268,1972,60.0,1912.0,1,1,12.0,24366.0,2.0,,0.8893
269,1972,32.0,1940.0,2,2,10.0,2707.0,1.0,,0.4446
270,1972,52.0,1920.0,2,1,10.0,24366.0,1.0,,1.3339
271,1972,65.0,1907.0,1,2,6.0,8122.0,1.0,,1.3339
272,1972,24.0,1948.0,1,2,12.0,8122.0,1.0,,0.8893
273,1972,49.0,1923.0,2,2,8.0,13537.0,1.0,,1.3339
274,1972,52.0,1920.0,1,2,10.0,24366.0,2.0,,0.8893
275,1972,43.0,1929.0,1,1,18.0,50763.0,,,0.8893
276,1972,33.0,1939.0,2,1,12.0,30458.0,1.0,,0.8893
277,1972,22.0,1950.0,1,1,16.0,,1.0,,3.5571
278,1972,52.0,1920.0,2,1,10.0,,1.0,,0.8893
279,1972,26.0,1946.0,1,1,12.0,13537.0,2.0,,0.8893
280,1972,21.0,1951.0,2,1,14.0,50763.0,1.0,,1.7786
281,1972,26.0,1946.0,1,2,12.0,13537.0,1.0,,1.7786
282,1972,24.0,1948.0,2,1,12.0,37226.0,1.0,,1.3339
283,1972,50.0,1922.0,2,1,5.0,18951.0,1.0,,0.8893
284,1972,49.0,1923.0,1,1,10.0,74452.0,1.0,,1.7786
285,1972,41.0,1931.0,2,2,11.0,,,,1.7786
286,1972,25.0,1947.0,2,1,16.0,60915.0,1.0,,0.8893
287,1972,64.0,1908.0,1,1,20.0,43994.0,1.0,,0.8893
288,1972,23.0,1949.0,2,2,13.0,24366.0,1.0,,0.8893
289,1972,33.0,1939.0,2,1,9.0,24366.0,,,0.8893
290,1972,67.0,1905.0,1,2,,18951.0,,,1.3339
291,1972,45.0,1927.0,2,2,10.0,18951.0,2.0,,1.3339
292,1972,22.0,1950.0,1,1,14.0,50763.0,1.0,,1.3339
293,1972,80.0,1892.0,2,1,6.0,2707.0,2.0,,0.4446
294,1972,38.0,1934.0,1,1,12.0,43994.0,2.0,,0.8893
295,1972,73.0,1899.0,1,1,7.0,2707.0,2.0,,0.8893
296,1972,32.0,1940.0,2,1,16.0,50763.0,1.0,,0.8893
297,1972,41.0,1931.0,1,1,11.0,,,,1.3339
298,1972,49.0,1923.0,2,1,11.0,30458.0,1.0,,1.3339
299,1972,27.0,1945.0,2,1,8.0,37226.0,1.0,,1.7786
300,1972,59.0,1913.0,1,1,14.0,60915.0,2.0,,0.8893
301,1972,56.0,1916.0,1,1,10.0,24366.0,1.0,,1.3339
302,1972,39.0,1933.0,1,1,8.0,13537.0,1.0,,0.8893
303,1972,19.0,1953.0,1,1,10.0,2707.0,2.0,,1.3339
304,1972,80.0,1892.0,2,1,16.0,13537.0,1.0,,0.4446
305,1972,43.0,1929.0,2,2,8.0,2707.0,1.0,,0.8893
306,1972,45.0,1927.0,1,2,12.0,30458.0,2.0,,2.2232
307,1972,56.0,1916.0,1,1,13.0,43994.0,1.0,,1.3339
308,1972,47.0,1925.0,1,1,7.0,37226.0,1.0,,1.3339
309,1972,49.0,1923.0,2,1,12.0,,1.0,,0.8893
310,1972,62.0,1910.0,1,1,8.0,2707.0,1.0,,1.3339
311,1972,48.0,1924.0,2,2,12.0,,1.0,,0.8893
312,1972,73.0,1899.0,1,1,7.0,2707.0,2.0,,0.8893
313,1972,62.0,1910.0,1,1,7.0,2707.0,1.0,,0.8893
314,1972,48.0,1924.0,1,2,9.0,13537.0,1.0,,0.8893
315,1972,59.0,1913.0,1,2,2.0,13537.0,2.0,,2.2232
316,1972,52.0,1920.0,1,2,2.0,18951.0,2.0,,1.7786
317,1972,56.0,1916.0,1,2,6.0,13537.0,1.0,,1.3339
318,1972,40.0,1932.0,1,1,7.0,37226.0,1.0,,1.7786
319,1972,78.0,1894.0,1,1,16.0,24366.0,1.0,,0.8893
320,1972,70.0,1902.0,1,2,6.0,8122.0,1.0,,0.8893
321,1972,32.0,1940.0,2,1,16.0,50763.0,1.0,,0.8893
322,1972,53.0,1919.0,2,2,0.0,,1.0,,0.4446
323,1972,45.0,1927.0,1,1,10.0,30458.0,1.0,,1.7786
324,1972,44.0,1928.0,2,1,11.0,24366.0,2.0,,1.7786
325,1972,36.0,1936.0,2,2,12.0,30458.0,1.0,,0.8893
326,1972,65.0,1907.0,1,1,7.0,18951.0,2.0,,0.8893
327,1972,32.0,1940.0,1,1,10.0,30458.0,2.0,,0.8893
328,1972,26.0,1946.0,2,1,12.0,24366.0,1.0,,0.8893
329,1972,,,1,1,12.0,43994.0,1.0,,0.8893
330,1972,75.0,1897.0,1,1,2.0,8122.0,1.0,,0.8893
331,1972,27.0,1945.0,2,1,12.0,18951.0,1.0,,0.8893
332,1972,39.0,1933.0,1,1,12.0,43994.0,1.0,,0.8893
333,1972,42.0,1930.0,2,1,10.0,37226.0,1.0,,0.8893
334,1972,55.0,1917.0,2,1,8.0,13537.0,1.0,,0.8893
335,1972,31.0,1941.0,2,1,12.0,50763.0,1.0,,0.8893
336,1972,59.0,1913.0,1,1,8.0,18951.0,2.0,,0.8893
337,1972,56.0,1916.0,1,1,14.0,60915.0,2.0,,0.8893
338,1972,27.0,1945.0,2,1,12.0,37226.0,1.0,,0.4446
339,1972,49.0,1923.0,2,2,8.0,13537.0,1.0,,1.3339
340,1972,52.0,1920.0,2,1,12.0,30458.0,1.0,,0.8893
341,1972,44.0,1928.0,2,1,14.0,43994.0,1.0,,0.8893
342,1972,47.0,1925.0,1,2,3.0,13537.0,1.0,,2.6679
